Column1;Column2;Column3
id;expression;tweet
3422_tweet.txt;le mot;"Vendredi 4 septembre ; twi twi twi venez mes amis twittos prendre un tweet-café;Liberté Egalité, Fraternité la plus belle devise de la France, je souhaite de tout mon coeur qu'on ajoute pas à l'humaniste mot Fraternité,le mot sororité qui serait du séparatisme.#FranceRelance"
7943_tweet.txt;on dit;@XXX @XXX @XXX @XXX à moins de soliloquer , on dit on étouffe #ggrmc
24187_tweet.txt;on dit;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX Ca fait quand même beaucoup. Comment voulez-vous que les âmes fragiles ne copient pas ces GROS DELINQUANTS qui ont pignon sur rue comme on dit url_path
225671_tweet.txt;le terme;@XXX @XXX @XXX @XXX Mais qu'est ce que tu raconte tu préfères qu'on te definise a ta couleur de peau plutôt qu'a ta personnalité c'c'est idiot le terme racisé est immonde selon moi parce qu'elle fait une différence entre les individus
91808_tweet.txt;On dit;On dit toujours Mister Freeze mais les Yeti c’est large au dessus url_path url_path
216965_tweet.txt;le mot;Kaaris il avait bien raison à propos de son feat avec Bosh même le mot sale c’est propre
167603_tweet.txt;le mot;"La France et son incapacité à ""voir les couleurs"" c'est vraiment autre chose. Y'a vraiment que ce pays où des asso ""antiracistes"" sont en PLS dès que le mot Noir est énoncé.  Posez-vous des questions un peu la @XXX url_path"
262968_tweet.txt;le terme;Au delà du fait que Zemmour est 100 fois moins dingue que Soral eça me fume à quel point elle utilise le terme judeophobie pour pas incriminer Soral en disant qu’il est antisemite ce qui est puni par la loi mdr (d’ailleurs Soral est mm pas arrêté pr ca)
218501_tweet.txt;le mot;Sainz il va faire chauffer le moteur d'Hamilton
189528_tweet.txt;le mot;"@XXX @XXX @XXX @XXX Arrêtes la bibine! Où tu vois le mot ""Suède"" dans ta capture d'écran ? Et t'as toujours pas percuté que je suis une femme. Tu en es à combien de bouteilles de pinard?"
143790_tweet.txt;On dit;"On dit ""calabraise testa dura"" , ou on dit ""j aurais dû fermer ma gueule"" #rmclive"
82015_tweet.txt;le mot;"@XXX @XXX @XXX @XXX @XXX @XXX Non mais moi ce qui m'énerve c'est juste les gens qui utilisent le mot ""pleure"" et ""gênant* pour tout et n'importe quoi. Bien sûr que Thauvin reste un bon joueur."
