id;expression;tweet;pres;erreurs;terme prescrit
112929_tweet.txt;langage ;@XXX @XXX Au contraire leurs slang est incroyable gros, le langage >>>;non;;
63100_tweet.txt;langage ;La famille de l'exe à Hassan elle me dégoûte quel langage c'est dégueulasse en + ils parlent mal des Marocains alors que y'a 0 rapports avec l'histoire franchement certaines familles éduquez vous;?;;
195019_tweet.txt;langage ;Le langage de l’Argent seulement.  Devenir millionnaire, c’est seulement une question d’mentalité.  Vous voulez pas être pauvres ?  N’pensez pas comme des putains d’pauvres.  Bon j’sucerais bien Jeff Bezos moi. url_path;non;;
211676_tweet.txt;langage ;#LRDS c'est benga benga c'est encore quoi ça ce langage de connasse;pres;;benga benga
200023_tweet.txt;langage ;"Les musulmans, quand vous voyez ça et les ""wallah"" & ""au nom de dieu"" qui vont avec alors qu'ils sont entrain de dépouiller un pauvre mec (Hassan) qui travail, ça ne vous fait rien?  ""wallah"" ce n'est plus un serment religieux, c'est un tic de langage pour les délinquants. url_path";pres;;wallah
112306_tweet.txt;langage ;Découvrir les fleurs apprivoisant leur langage   ~?? #6mots  ??~  ??On est bien peu de chose         Et mon amie la rose              Me l'a dit ce matin??  ???Cécile Caulier?????C. Caulier et Jacques Lacome??F. Hardy #laMinuteLove ???? #LundiFleuri ????  url_path url_path;non;;
232945_tweet.txt;langage ;La Raissa a un langage à couper au couteau! #LRDS;meta;;
31468_tweet.txt;langage ;Raïssa me fait sentir que j'ai basculé du coté obscur des vieux qui comprennent plus le langage des jeunes #LRDS;meta;;
141569_tweet.txt;langages ;Top 10 des langages de programmation 2020, publié par l'IEEE ce matin. Pas de surprise dans le top 5, mais R en 6e position et Arduino en 7e ! url_path;non;;
226445_tweet.txt;langage ;@XXX Vous, le Maire de Nice, j’espère maintenant Perpignan, portez le même langage ! Et les fruits dans votre ville se voient ...à tél point que je fais l’acquisition d’un logement à Béziers ! Continuez !;non;;
196055_tweet.txt;langage ;"@XXX @XXX qu'on me dise combien de fois on emploi ""je m'étouffe "" dans le langage courant , ne parlez pas de lapsus , c'est volontaire , on connait la macronie ?? #ggrmc";meta;;
74615_tweet.txt;langage ;"Mon commentaire du livre de Malika Sorel-Sutter : ""#Immigration - #Intégration. Le langage de vérité"" : url_path via @XXX";non;;
146338_tweet.txt;langage ;Venez on fait rentrer les expressions lyonnaises dans le langage français url_path;meta;;
111_tweet.txt;langage ;@XXX @XXX Devons nous comprendre que Soral t'a dépucelé ?  Pourquoi ce langage cryptique ?;non;;
241329_tweet.txt;langage ;#LRDS Raissa qui se dit la plus belle des plus belles, c'est bien beau, si elle pouvait aussi être belle dans son langage ça serait pas mal aussi hein?? La beauté extérieure ça fait pas tout !;pres;;X
68005_tweet.txt;langage ;@XXX @XXX @XXX @XXX @XXX @XXX @XXX @XXX hypocrisie et double langage ! Festivals annulés, des milliers d’artistes au chômage... et pendant ce temps, le fait du Prince élyséen autorise à son ami-vicomte du Puy-du-Fou 12 000 spectateurs. Privilèges de la monarchie-républicaine...  Dans quelle France vit-on?;non;;
3422_tweet.txt;le mot;"Vendredi 4 septembre ; twi twi twi venez mes amis twittos prendre un tweet-café;Liberté Egalité, Fraternité la plus belle devise de la France, je souhaite de tout mon coeur qu'on ajoute pas à l'humaniste mot Fraternité,le mot sororité qui serait du séparatisme.#FranceRelance";pres;;sororité
216965_tweet.txt;le mot;Kaaris il avait bien raison à propos de son feat avec Bosh même le mot sale c’est propre;meta;;
167603_tweet.txt;le mot;"La France et son incapacité à ""voir les couleurs"" c'est vraiment autre chose. Y'a vraiment que ce pays où des asso ""antiracistes"" sont en PLS dès que le mot Noir est énoncé.  Posez-vous des questions un peu la @XXX url_path";meta;;
218501_tweet.txt;le mot;Sainz il va faire chauffer le moteur d'Hamilton;non;X;
189528_tweet.txt;le mot;"@XXX @XXX @XXX @XXX Arrêtes la bibine! Où tu vois le mot ""Suède"" dans ta capture d'écran ? Et t'as toujours pas percuté que je suis une femme. Tu en es à combien de bouteilles de pinard?";meta;;
82015_tweet.txt;le mot;"@XXX @XXX @XXX @XXX @XXX @XXX Non mais moi ce qui m'énerve c'est juste les gens qui utilisent le mot ""pleure"" et ""gênant* pour tout et n'importe quoi. Bien sûr que Thauvin reste un bon joueur.";pres;;"pleure/""gênant"
19287_tweet.txt;le mot;Vous soûlez les army's (pas toutes Nan parce que yen a vous allez venir prendre la défense) arrêtez juste stop vous comprenez pas le mot stop ? Astro est un groupe pas autant connu que bts, vous êtes pas contente car bts n'est pas first au soba mais stop url_path;non;;
218894_tweet.txt;le mot;Ptn j’ai masqué le mot wejdene y’en a ils écrivent wedjene wsh comment tu veux faire;meta;;
107486_tweet.txt;le mot;@XXX @XXX Dégouté du départ de @XXX qui avait toujours le mot juste en sachant rester humble. Il reste que des cloches comme le dindon dickens, la mytho lefebvre, le bafouilleur maillot, la perchée dumont, l'anar liebig, la vieille bitan, la paumée dago-serry, l'ado lledo, etc #ggrmc;non;;
33137_tweet.txt;le mot;J’en ai vraiment marre de voir tous ces commentaires sur Westbrook, je songe à cacher le mot sur Twitter parce que bordel ça fait des années que vous devriez comprendre que c’est un joueur capable de sortir un 35-15-10 a 60% ou un 12-6-2-9TO a 25% d’un joueur à l’autre.;meta;;
110074_tweet.txt;le mot;Ya des gens aui utilisent encore le mot « kappa » en 2020 et ca c’est pas acceptable;pres;;kappa 
40708_tweet.txt;Le mot;RT @XXX: Le mot de passe c’était « c’est moi » mdrrr avec ça t’ouvrais clairement toutes les portes;non;;
239389_tweet.txt;le mot;@XXX En plus le remaster de Mario galaxy nous prouve que le motion gaming de la wii est possible avec les joy cons. Donc SS Hd on t'attends !^^';non;X;
155774_tweet.txt;le mot;La réaction de Éric est épique. Il a rien compris. Sonné c'est le mot juste. Il pensait que ça avait sonné et que le shoot était beaucoup trop tard il a rien pigé mdrr #NBAextra;meta;;
240804_tweet.txt;LE MOT;C’est maintenant j’y pense aussi mais là, ça se trouve ils sont en train de chialer...EH J’SUIS FIÈRE D’EUX ! ET ENCORE LE MOT FIERE N’EST PAS ASSEZ PUISSANT.???? #Billboardhot100 #JungkookDay #BTS_Dynamite #BTSDynamiteNo1Hot100 #BTS1onBBHot100 #????? #BTS url_path;meta;;
