Text_index;;texte
82013_tweet.txt;;bosh il lui a fait un sal boulot à kaaris il lui a montré que maintenant a plus de petit et grand
130701_tweet.txt;;le craquage est complet ai préco le repackage de straykids et mario allstar 
39077_tweet.txt;;allez est parti 
98773_tweet.txt;;chut faut pas le dire à camille
258184_tweet.txt;;ma passion pendant le générique des vlogs août essayer de deviner qui est qui quand a les dessins des potes à léna
262936_tweet.txt;;me encontré  bts  
99082_tweet.txt;;putain ils veulent notre peau nintendo est day one les amiibo
64005_tweet.txt;;je suis en larmes quel roi  
90158_tweet.txt;;je suis pour les grèves mais alors encore une de la sachant on est en plein covid et on entasse déjà en temps normal je vous invite à aller niquer vos mères
189761_tweet.txt;;maroua a chaque drama elle me déçoit un peu plus je suis choquée elle
92675_tweet.txt;;des grand denjiro malina marié tout sa pour procréer un énergumènes tel que jctrrrr eeeesh foorce a vous deux hein on est pas ensemble sur le coup
71292_tweet.txt;;même si on lui coupe le pied il doit jouer back to back mvp mvp et dpoy sur la même saison et tu vas te manger un sweep   lmaooooooooo must win tonight  your legacy is on the line 
160768_tweet.txt;;les personnes qui croient encore  que hassan a frapper fathma  venez on se pose  min et on discute
195174_tweet.txt;;espère grave que léna elle va passer un moins entier chill sans emmerde et sans maladie parce que bichette toujours elle a la poisse
35968_tweet.txt;;mais non mais imagine elle me recale 
148387_tweet.txt;;le pauvre westbrook mais oklm il fais un bon match 
58099_tweet.txt;;sa soule trop de changement sur après bourdinbrunet maintenant fatima j aime pas tous ses changements vous aller nous manqué 
233171_tweet.txt;;en contre mais on les négocie mal et en défense ben chaque fois que brest arrive dans notre moitié ils peuvent marquer mdr
188152_tweet.txt;;jamais tranquille c un truc de malade même contre brest
243462_tweet.txt;;aurais parlé comme ca ma mere m aurais mis un coup de tong dans la gueule voir un coup de poele mdr 
1723_tweet.txt;;le pauvre jean-luc gary il tremble a mort  
97010_tweet.txt;;on en parle du bop de somi 
88325_tweet.txt;;vas rejoindre david luiz on insulte tes grands morts 
45323_tweet.txt;;est ce que jferais pas pour toi dis donc
203785_tweet.txt;;bh clairement personne aime les poissons jpp ai le pire des signes astro 
42353_tweet.txt;;kunigami il est fait jeté ai le seum 
208987_tweet.txt;;non mais la vraie question est pourquoi tu demandes le signe astro de tes potes as pas de meilleure discussions la 
